Substance,A,B,C,D,E,F,T_min,T_max,T_verify,prop_verify
Water,0.255980,12.545950,-31.408960,97.766500,-145.423600,87.018500,273,586,343.15,4.1875
Ammonia,0.518380,8.111677,-3.922537,16.080840,-18.078723,-4.265080,205,355,265.15,4.5730
Hydrogen chloride,0.428824,7.229828,-9.908417,35.977597,-73.966366,63.001991,134,308,273.15,2.0561
Chlorine,0.348448,9.581768,-35.823396,198.970547,-456.440234,365.477124,173,383,273.15,0.9791
Nitrogen,0.468003,5.859125,-3.294471,10.949390,-10.931129,3.521050,68,113,103.15,2.4109
Oxygen,0.491044,4.971189,3.165818,-15.730230,35.129358,-24.450400,58,138,103.15,1.7546
Hydrogen,0.412752,1.939203,-0.676502,2.161263,-9.684044,14.410197,16,28,18.75,11.2238
Sulfur dioxide,0.492030,9.882450,-5.736710,12.991290,-7.898405,4.251653,203,413,303.15,1.4033
Carbon monoxide,0.434226,6.852270,-7.826240,25.693570,-39.219300,31.506260,68,125,101.15,2.3261
Carbon dioxide,0.500361,8.830377,-3.868837,10.324592,0.675891,1.845183,218,283,253.15,2.1654
Methane,0.407112,7.061365,-11.142546,37.881423,-60.945893,38.024820,93,168,123.15,3.5803
Ethane,0.428053,10.459037,-18.182884,51.711500,-75.884470,44.500540,93,283,213.15,2.5942
Propane,0.558680,12.802352,-5.738203,-9.551125,26.702477,-15.775134,81,330,280.15,2.5415
n-Butane,0.494221,19.195325,-11.646233,-13.063580,37.552637,-18.508970,140,400,280.15,2.3449
Isobutane,0.497330,18.773678,-14.552160,-0.254646,19.359040,-15.881925,120,380,280.15,2.3207
n-Pentane,0.493157,25.403260,-18.571150,-8.455922,27.383110,-5.186790,153,443,273.15,2.2100
n-Hexane,0.503827,30.695832,-16.437834,-28.145485,50.312710,-18.044650,183,463,333.15,2.4093
Cyclohexane,0.452602,29.040500,-17.260650,-69.508970,254.381420,-307.047120,283,523,298.65,1.8145
n-Heptane,0.274131,39.690828,-38.327579,48.535630,-116.903726,115.685562,183,523,393.15,2.6629
n-Octane,0.615215,42.753600,-27.390185,8.228510,-58.652690,79.116170,223,533,293.15,2.2091
Ethylene,0.475969,7.565091,-3.361502,-1.602014,24.541197,-22.072075,110,260,250.15,3.3689
Propylene,0.468895,12.677647,-12.484029,18.370277,-19.006378,15.198619,93,343,263.15,2.3713
1-Butene,0.474628,17.444100,-16.144424,18.563360,-20.820925,16.654776,93,383,243.15,2.0809
Methanol,0.612632,13.195540,-5.208870,-45.762120,91.190270,-44.456180,183,463,323.15,2.7082
Ethanol,0.503568,22.442022,-36.783235,160.373246,-466.432673,396.027992,253,473,343.15,3.0966
n-Propanol,0.313992,42.598117,-78.401260,30.612206,40.102166,-16.588491,147,400,293.45,2.3626
n-Butanol,1.203976,50.595314,-91.331488,37.897784,28.225069,-2.351873,185,391,303.95,2.4513
Ethylene glycol,-0.106462,32.547745,-27.000190,22.166665,-43.223418,21.074136,261,493,284.65,2.3342
Isopropanol,-0.028011,37.272721,-60.212901,145.141653,-415.612074,383.532117,185,480,293.85,2.5706
Acetic acid,0.129079,23.227878,-19.035099,11.172422,-32.209650,32.222624,290,413,332.23,2.1868
Methyl acetate,-3.270153,54.948876,-110.920230,73.069065,86.152790,-91.367990,177,373,329.15,2.0263
Ethyl acetate,1.558660,24.189499,-26.451003,27.644553,-25.493382,29.857034,190,350,316.35,1.9958
Vinyl acetate,0.532294,28.920121,-26.329666,18.066371,-41.778918,48.998543,260,389,266.35,1.8743
Methyl-tert-butyl ether,0.681223,28.641641,-26.276132,26.982673,-34.177133,22.912098,165,328,293.85,2.1107
Acetone,0.440183,17.664600,-8.866356,-11.726743,34.192440,-17.424056,183,503,333.15,2.2404
Benzene,0.497842,22.393654,-15.407940,3.391770,-25.948450,39.510594,283,523,343.15,1.8693
Toluene,0.472576,28.776500,-29.760240,48.793090,-113.292550,94.204740,183,563,313.15,1.7496
p-Xylene,-0.298962,48.971447,-144.539120,451.279840,-811.386690,551.296903,287,567,335.95,1.8151
R23,0.583673,8.825460,3.660254,-28.715384,71.336899,-57.631705,158,288,263.15,1.6319
R32,0.482781,9.736560,-7.746770,18.994675,-22.694329,16.232080,138,343,293.15,1.8863
R12,0.469917,14.390100,-17.006910,53.677190,-104.511075,78.215790,123,373,293.15,0.9757
R22,0.509972,11.154020,-3.730131,-1.359015,11.325878,-5.456086,123,353,293.15,1.2395
R134a,0.509614,17.066100,-15.834770,39.390760,-69.727496,53.455900,173,368,293.15,1.4053
R125,0.619806,15.473500,2.397560,-32.903800,33.244360,22.729920,173,333,293.15,1.3682
