Substance,Equation number,A,B,C,D
Water,A.2,33484.75,9275.30,1218.48,20241.42
Ammonia,A.2,34083.18,26087.00,990.77,33100.02
Hydrogen chloride,A.1,432.77152,3.42841,3.54436,-10.49775
Chlorine,A.2,29197.65,8502.80,405.49,–3253.99
Nitrogen,A.2,29108.79,8526.28,1678.41,66784.83
Oxygen,A.2,29116.90,10437.46,2565.44,9338.84
Hydrogen,A.2,20463.61,9591.19,216.79,16524.83
Sulfur dioxide,A.1,904.53351,3.98118,5.66358,3.21967
Carbon monoxide,A.2,29104.60,8665.81,3043.79,8336.18
Carbon dioxide,A.1,188.27392,3.50426,8.29771,4.71883
Methane,A.2,33356.35,45763.85,1025.42,48699.01
Ethane,A.1,903.41135,4.48148,11.69046,8.47923
Propane,A.1,1222.85277,4.63428,6.17777,–31.84476
n-Butane,A.1,668.64918,8.90810,14.24670,41.04664
Isobutane,A.1,2084.48334,5.07542,7.06198,-264.30218
n-Pentane,A.1,1074.74180,8.97762,11.92509,31.16797
n-Hexane,A.1,918.01459,11.29386,18.05869,29.33969
Cyclohexane,A.1,671.99039,4.04945,5.43698,67.17766
n-Heptane,A.1,751.21484,14.78843,17.82902,121.15456
n-Octane,A.1,580.69298,22.78850,32.50664,73.77537
Ethylene,A.1,100.67955,3.46632,18.86798,-1.58496
Propylene,A.1,1178.93725,4.27276,4.78834,-97.58307
1-Butene,A.1,444.42742,4.00215,4.77657,-103.78383
Methanol,A.1,72.32165,-43.80600,18.04246,-8.74148
Ethanol,A.1,1165.86482,4.70209,9.77865,-1.17688
n-Propanol,A.2,61723.88,203342.08,757.27,-96727.69
n-Butanol,A.2,74802.09,167505.02,-711.59,130880.37
Ethylene glycol,A.1,316.79019,3.05241,3.58464,-152.76283
Isopropanol,A.1,313.10693,8.96218,9.41683,702.94470
Acetic acid,A.1,589.88417,5.10642,5.52776,211.48957
Methyl acetate,A.2,54664.40,179099.95,595.63,-106514.52
Ethyl acetate,A.2,99847.16,210798.73,-947.39,-52228.85
Vinyl acetate,A.1,339.00453,10.85084,11.20264,1116.09686
Methyl-tert-butyl ether,A.2,100524.03,206853.45,-807.44,137641.68
Acetone,A.2,58083.25,101389.15,-761.09,84650.28
Benzene,A.1,560.93643,4.00088,6.20811,22.19301
Toluene,A.1,1250.94941,3.99957,10.73366,-19.78047
p-Xylene,A.1,1299.91280,4.43091,6.06047,-229.73910
R23,A.1,766.08865,4.00055,4.56857,57.65285
R32,A.1,889.23598,4.39579,9.60005,15.90687
R12,A.1,722.38297,3.13821,3.33217,-818.72651
R22,A.1,1036.65937,3.60012,4.64243,-89.43873
R134a,A.1,1108.39974,4.00203,6.01963,-138.01236
R125,A.1,863.90053,6.11410,6.41788,-301.84855
