Substance,Formula,Tc,Pc,vc,M,omega,Tb,Tm,Dhm,Dhf0,Dgf0
Water,H2O,647.096,220.640,55.947,18.015,0.3443,373.13,273.15,333.1,-241820,-228590
Ammonia,NH3,405.500,113.592,75.768,17.031,0.2560,239.82,195.45,332.2,-45773,-16150
Hydrogen chloride,HCl,324.550,82.631,88.719,36.461,0.1280,188.20,158.95,54.9,-92310,-95300
Chlorine,Cl2,416.958,79.911,122.927,70.906,0.0874,239.17,172.15,90.3,0,0
Nitrogen,N2,126.192,33.958,89.416,28.014,0.0372,77.36,63.15,25.7,0,0
Oxygen,O2,154.599,50.464,74.948,31.999,0.0221,90.19,54.35,13.9,0,0
Hydrogen,H2,33.190,13.150,66.938,2.016,-0.2187,20.38,13.95,58.1,0,0
Sulfur dioxide,SO2,430.643,78.757,122.087,64.062,0.2552,263.13,200.00,115.5,-296850,-300150
Carbon monoxide,CO,132.860,34.982,92.088,28.010,0.0503,81.64,68.15,30.0,-110540,-137270
Carbon dioxide,CO2,304.128,73.773,94.117,44.009,0.2236,,216.55,204.9,-393500,-394380
Methane,CH4,190.564,45.992,98.629,16.043,0.0114,111.67,90.65,58.7,-74850,-50835
Ethane,C2H6,305.322,48.722,145.843,30.070,0.0995,184.57,90.35,95.1,-84680,-32930
Propane,C3H8,369.825,42.477,200.004,44.097,0.1524,231.03,85.45,79.9,-103840,-23470
n-Butane,C4H10,425.125,37.960,254.930,58.124,0.2008,272.66,134.85,80.2,-126150,-17154
Isobutane,C4H10,407.810,36.290,257.756,58.124,0.1835,261.40,113.55,78.1,-134510,-20878
n-Pentane,C5H12,469.659,33.689,306.766,72.151,0.2517,309.21,143.40,116.4,-146760,-8813
n-Hexane,C6H14,507.795,30.416,386.753,86.178,0.3002,341.87,177.85,151.8,-167190,-250
Cyclohexane,C6H12,553.600,40.750,308.263,84.162,0.2092,353.86,279.65,32.6,-123300,31910
n-Heptane,C7H16,541.226,27.738,445.551,100.205,0.3460,371.53,182.55,140.2,-187650,8165
n-Octane,C8H18,569.570,25.067,501.835,114.231,0.3943,398.78,216.35,181.6,-208750,16000
Ethylene,CH2=CH2,282.350,50.418,130.947,28.054,0.0866,169.38,104.05,119.4,52300,68110
Propylene,C3H6,364.211,45.550,183.247,42.081,0.1461,225.53,87.85,71.4,19170,62150
1-Butene,C4H8,419.290,40.057,235.802,56.108,0.1919,266.84,87.85,68.6,-540,70270
Methanol,CH3OH,513.380,82.159,113.828,32.042,0.5625,337.63,175.50,100.3,-201160,-162500
Ethanol,C2H5OH,513.900,61.480,166.917,46.069,0.6441,351.41,159.05,107.0,-234800,-168280
n-Propanol,C3H7OH,536.750,51.750,218.990,60.096,0.6211,370.31,146.95,89.4,-255200,-159900
n-Butanol,C4H9OH,563.050,44.230,274.996,74.123,0.5905,390.90,183.85,126.4,-274600,-150300
Ethylene glycol,C2H4(OH)2,719.150,82.000,190.983,62.068,0.5129,470.22,260.15,160.4,-392200,-301800
Isopropanol,C3H7OH,508.250,47.620,220.011,60.096,0.6631,355.36,185.25,90.0,-272700,-173470
Acetic acid,CH3COOH,591.950,57.860,179.676,60.052,0.4630,391.04,289.85,195.3,-434830,-376680
Methyl acetate,CH3COOCH3,506.550,47.500,228.015,74.079,0.3306,330.08,175.15,107.6,-411900,-324200
Ethyl acetate,CH3COOC2H5,523.200,38.301,285.992,88.106,0.3606,350.27,189.65,118.9,-442910,-327390
Vinyl acetate,C4H6O2,519.150,39.580,269.978,86.090,0.3526,345.86,180.35,62.4,-314900,-227900
Methyl-tert-butyl ether,C5H12O,497.150,34.300,328.976,88.150,0.2662,328.29,164.55,86.2,-283500,-117500
Acetone,C3H6O,508.100,46.924,212.299,58.080,0.3064,329.23,178.45,99.4,-215700,-151300
Benzene,C6H6,562.014,49.010,255.044,78.114,0.2103,353.24,278.65,126.3,82930,129660
Toluene,C6H5CH3,591.749,41.263,315.422,92.141,0.2657,383.75,178.15,72.0,50170,122200
p-Xylene,C8H10,616.250,35.110,377.958,106.168,0.3218,411.51,286.45,161.2,18030,121400
R23,CHF3,299.747,48.690,133.115,70.013,0.2584,191.09,117.95,58.0,-697050,-662610
R32,CH2F2,351.255,57.826,122.696,52.023,0.2770,221.50,137.05,99.2,-452710,-425160
R12,CCl2F2,385.120,41.361,214.006,120.913,0.1795,243.39,115.15,34.2,-481160,-442250
R22,CHClF2,369.280,49.885,166.282,86.468,0.2207,232.35,115.75,47.7,-481600,-450500
R134a,CF3CH2F,374.212,40.593,199.299,102.030,0.3268,247.08,172.15,63.5,-895790,-826900
R125,CF3CHF2,340.229,37.039,212.131,120.020,0.3017,225.04,170.15,47.0,-1105000,-1030000
