Substance,A,B,C,D,E,T_min,T_max,T_verify,prop_verify
Water,6.853064,7.437940,-2.937398,-3.282184,8.396833,273,Tc,323.15,2380.25
Ammonia,5.744770,7.282878,-2.428749,-2.261923,2.909393,196,Tc,300.15,1157.70
Hydrogen chloride,5.385594,3.577607,1.702220,-4.769082,5.095527,134,Tc,203.15,423.41
Chlorine,5.113960,5.494794,-1.639730,-2.193617,4.356455,173,Tc,273.15,267.42
Nitrogen,5.063172,5.518154,-2.645913,-1.981109,5.333368,65,Tc,93.15,174.93
Oxygen,4.969617,5.305319,-2.426090,-2.151263,3.466285,58,Tc,123.15,167.73
Hydrogen,4.115256,2.511597,-1.539154,-2.578672,2.165454,15,Tc,20.05,461.39
Sulfur dioxide,6.431380,6.405860,-2.656015,-0.900937,6.502211,203,Tc,323.15,328.16
Carbon monoxide,5.365160,4.615630,-1.502620,-2.360346,7.214583,68,Tc,101.15,181.89
Carbon dioxide,6.285898,5.640077,-1.240625,-2.040365,26.542058,218,Tc,253.15,282.44
Methane,4.990555,5.035151,-2.283393,-2.460933,4.378278,93,Tc,183.15,214.96
Ethane,5.240570,7.195872,-4.635360,-0.641593,2.271410,93,Tc,243.15,388.62
Propane,5.532218,7.865983,-5.298339,0.075567,2.154822,90,Tc,280.15,364.59
n-Butane,5.894590,7.877690,-5.041876,-0.151283,3.790784,140,Tc,280.15,379.00
Isobutane,5.985358,6.870170,-3.957940,-0.356806,2.957430,120,Tc,280.15,347.69
n-Pentane,5.752590,9.973145,-6.896600,0.534831,4.463225,153,Tc,273.15,385.00
n-Hexane,5.823448,11.201235,-8.071440,1.348380,3.456936,183,Tc,343.15,333.92
Cyclohexane,3.437910,14.061510,-8.730995,0.671730,0.025579,283,Tc,294.15,394.34
n-Heptane,3.316640,21.992820,-18.808160,5.534334,2.931020,183,Tc,303.15,362.02
n-Octane,4.464230,19.783260,-16.839300,5.360490,3.956600,223,Tc,303.15,361.66
Ethylene,5.143747,6.934186,-4.268831,-0.584890,3.213931,110,Tc,250.15,303.81
Propylene,5.296574,8.539701,-6.058919,0.507597,2.793165,93,Tc,263.15,391.95
1-Butene,5.495498,9.245589,-6.920092,1.448008,2.307289,93,Tc,303.15,354.54
Methanol,5.465579,15.616850,-7.676416,-4.926600,6.334842,183,Tc,373.15,1020.27
Ethanol,14.687649,-15.271194,26.062303,-20.049661,15.816495,253,Tc,293.15,925.91
n-Propanol,5.890074,16.292544,-5.777913,-2.767181,-8.575518,293,Tc,343.65,740.74
n-Butanol,3.925226,18.801993,-5.348588,-2.937749,-0.181003,224,Tc,343.85,654.47
Ethylene glycol,7.079169,8.721527,1.013498,-5.214016,4.441808,333,Tc,333.15,1027.05
Isopropanol,13.846539,-16.693668,32.098404,-19.900215,-9.894509,253,Tc,304.25,757.07
Acetic acid,6.686640,15.014483,-22.086618,3.077698,17.354972,290,Tc,369.35,395.64
Methyl acetate,6.398833,13.125464,-12.779956,5.864096,-9.168706,227,Tc,297.25,439.04
Ethyl acetate,8.568302,3.691585,-0.614594,-0.635779,0.817636,190,Tc,330.15,381.82
Vinyl acetate,7.959075,5.923838,-2.473449,-1.445393,4.013308,273,Tc,336.35,377.62
Methyl-tert-butyl ether,7.677125,3.101996,0.388899,-1.672830,0.763138,217,Tc,339.55,311.02
Acetone,5.731751,9.174230,-4.934225,0.048998,3.735669,183,Tc,373.15,448.73
Benzene,5.007470,10.690810,-7.316719,1.140714,6.786710,283,Tc,333.15,408.31
Toluene,4.607790,13.962160,-10.579148,2.112462,4.284860,183,Tc,323.15,398.25
p-Xylene,8.707394,1.081836,2.571094,-3.435021,9.405508,287,Tc,373.15,361.13
R23,5.346016,10.065090,-6.445266,0.855815,0.100753,158,Tc,253.15,170.98
R32,6.302860,6.634830,-2.530184,-1.546727,4.892836,138,Tc,253.15,344.12
R12,5.672474,8.015016,-5.135777,-0.186518,4.616427,123,Tc,253.15,162.07
R22,5.941889,7.847445,-4.736810,0.118054,4.060834,123,Tc,253.15,220.00
R134a,7.258160,4.942105,-0.155284,-2.761780,12.455860,173,Tc,273.15,198.76
R125,5.543650,11.761440,-8.102561,0.932260,5.177319,173,Tc,273.15,133.16
