Substance,Equation number,E,F,G,T_min,T_max,T_verify,prop_verify
Water,A.2,2919.59,,,278,1273,373.15,1.8909
Ammonia,A.2,2905.60,,,196,1500,394.75,2.2598
Hydrogen chloride,A.1,-77.37691,403.95083,-442.34632,134,1773,473.15,0.8019
Chlorine,A.2,3892.43,,,173,1123,273.15,0.4721
Nitrogen,A.2,10672.63,,,73,1773,313.15,1.0399
Oxygen,A.2,1149.97,,,63,1773,1200,1.1150
Hydrogen,A.2,3955.44,,,24,2273,513.15,14.6353
Sulfur dioxide,A.1,-88.88144,186.92401,-121.55529,203,1773,343.15,0.6483
Carbon monoxide,A.2,1531.93,,,73,1773,313.15,1.0407
Carbon dioxide,A.1,-11.75109,13.94035,-6.73002,223,1273,373.15,0.9158
Methane,A.2,2664.97,,,93,1823,293.15,2.2073
Ethane,A.1,-77.02151,122.97656,-74.05999,123,1500,273.15,1.6518
Propane,A.1,-487.58918,1216.90986,-972.09252,123,1500,373.15,2.0080
n-Butane,A.1,-258.18297,411.82384,-258.68803,163,1500,373.15,2.0314
Isobutane,A.1,-47.27861,2309.95342,-3524.85868,143,1223,373.15,2.0137
n-Pentane,A.1,-592.50351,1201.64991,-830.32720,183,1673,323.15,1.7761
n-Hexane,A.1,-307.72814,556.38463,-356.72160,193,1773,313.15,1.7239
Cyclohexane,A.1,-795.75587,1090.93493,-701.78714,283,1273,373.15,1.6512
n-Heptane,A.1,-843.82591,1360.01383,-824.87302,183,1773,303.15,1.6734
n-Octane,A.1,-348.56358,493.58782,-270.29141,233,1773,303.15,1.6663
Ethylene,A.1,6.37008,0.00005,-0.00003,143,1273,473.15,2.1337
Propylene,A.1,-915.4059,2188.95215,-1706.12569,93,1773,373.15,1.8110
1-Butene,A.1,269.01469,-545.25186,27.15311,93,1273,293.15,1.4991
Methanol,A.1,10.37780,-0.33156,-1.05900,183,2023,303.15,1.3840
Ethanol,A.1,-135.76765,322.75959,-247.73488,100,1500,373.15,1.6635
n-Propanol,A.2,880.13,,,200,1773,473.65,2.0484
n-Butanol,A.2,2223.47,,,200,1773,473.65,2.1413
Ethylene glycol,A.1,212.94465,84.60646,-662.81134,100,1000,373.15,1.5568
Isopropanol,A.1,-3295.08198,5345.62488,-3435.86066,100,1500,573.15,2.3965
Acetic acid,A.1,-1404.10912,2057.41805,-1317.64721,50,1195,373.15,1.2540
Methyl acetate,A.2,660.06,,,298,1773,424.55,1.4729
Ethyl acetate,A.2,1203.35,,,268,1273,473.65,1.7668
Vinyl acetate,A.1,-5117.97374,8086.03265,-5022.37492,100,1500,394.75,1.4167
Methyl-tert-butyl ether,A.2,2358.16,,,268,1500,336.85,1.5946
Acetone,A.2,2186.59,,,183,1773,313.15,1.3247
Benzene,A.1,-159.24845,-48.97058,155.54132,200,1023,373.15,1.3487
Toluene,A.1,-218.24713,677.57410,-595.41549,183,1273,313.15,1.1858
p-Xylene,A.1,-186.84354,1156.78350,-1164.53180,200,1500,336.85,1.3369
R23,A.1,-767.99181,1432.42397,-923.07484,163,1773,363.15,0.8223
R32,A.1,-111.31449,190.11067,-112.69276,143,1773,373.15,0.9440
R12,A.1,1463.34239,-979.86258,-188.05965,123,1773,373.15,0.6677
R22,A.1,22.60799,204.58845,-241.99955,123,1773,373.15,0.7332
R134a,A.1,334.51996,-417.38313,-4.62768,173,1773,373.15,0.9632
R125,A.1,-423.46781,1665.31109,-2612.24748,173,1773,373.15,0.8932
