Substance,rho_c,A,B,C,D,T_min,T_max,T_verify,prop_verify
Ammonia,224.78,533.0864,-39.199,271.407,-72.5196,196.0,647.096,310.15,584.33
Hydrogen chloride,410.97,981.8765,-441.4813,1121.7449,-553.3618,134.0,405.5,248.15,1018.11
Chlorine,576.81,908.9017,948.0483,-1353.2687,1093.5252,173.0,324.55,273.15,1467.02
Nitrogen,313.3,471.2169,492.8646,-561.5971,391.1454,68.0,416.958,123.15,471.54
Oxygen,426.95,748.3728,396.2376,-416.2389,372.6904,58.0,126.192,123.15,952.52
Hydrogen,30.12,52.8201,2.712,6.2764,-4.0288,15.0,154.599,18.05,73.3
Sulfur dioxide,524.72,1026.4147,287.9415,-59.1833,242.7178,203.0,33.19,273.15,1435.62
Carbon monoxide,304.17,571.9312,-67.0962,387.1504,-121.732,68.0,430.643,113.15,626.53
Carbon dioxide,467.6,897.8433,170.0655,169.2649,37.6341,218.0,132.86,253.15,1031.67
Methane,162.66,267.8594,129.3958,-73.607,69.9714,93.0,304.128,133.15,388.78
Ethane,206.18,339.3617,278.2759,-326.5676,246.499,93.0,190.564,213.15,505.9
Propane,220.48,372.1807,329.3106,-439.7196,331.6824,90.0,305.322,280.15,518.73
n-Butane,228.0,418.6984,246.8435,-317.6268,274.8872,140.0,369.825,280.15,592.99
Isobutane,225.5,383.578,363.7638,-483.8143,353.4964,120.0,425.125,280.15,572.34
n-Pentane,235.2,331.1728,680.8988,-965.2019,602.3687,153.0,407.81,293.15,625.55
n-Hexane,222.82,537.4149,87.8736,-283.5449,344.6594,183.0,469.659,293.15,659.38
Cyclohexane,273.02,370.9435,865.3421,-1291.8141,834.1977,283.0,507.795,353.15,720.11
n-Heptane,224.9,308.6265,1070.989,-1663.6827,989.8326,183.0,553.6,293.15,683.72
n-Octane,227.63,314.933,1030.8629,-1576.001,939.7454,223.0,541.226,293.15,702.33
Ethylene,214.24,364.8832,208.8422,-198.1499,185.2595,120.0,569.57,280.15,287.91
Propylene,229.64,428.3852,156.2079,-176.3127,217.3514,93.0,282.35,280.15,534.92
1-Butene,237.95,374.9006,532.7375,-823.2356,585.6584,93.0,364.211,283.15,605.9
Methanol,281.49,164.7427,2257.8517,-3545.8257,1929.8087,183.0,419.29,273.15,810.52
Ethanol,276.0,748.619,-412.3645,776.4385,-436.6754,253.0,513.38,343.15,744.74
n-Propanol,274.42,816.271,-549.2099,696.9837,-232.0819,147.0,513.9,290.55,806.76
n-Butanol,269.54,777.2536,-446.8411,578.8807,-172.9552,185.0,536.75,284.15,816.58
Ethylene glycol,324.99,1305.6439,-1374.3218,1690.8786,-664.8168,261.0,563.05,381.15,1048.42
Isopropanol,273.15,865.9179,-744.0946,975.9034,-381.128,186.0,719.15,304.25,776.23
Acetic acid,334.22,925.3877,-312.7976,340.0648,29.7201,290.0,508.25,337.55,1000.46
Methyl acetate,324.89,735.4603,-131.494,371.8328,-53.9224,176.0,591.95,297.25,928.75
Ethyl acetate,308.07,660.3749,8.8513,207.1687,1.5101,207.0,506.55,277.45,918.19
Vinyl acetate,318.88,752.038,-204.4664,468.8042,-107.555,181.0,523.2,287.35,939.17
Methyl-tert-butyl ether,267.95,615.1648,-332.9179,716.5664,-284.8751,165.0,519.15,304.55,729.6
Acetone,273.58,548.0439,205.2643,-197.7406,250.6303,183.0,497.15,313.15,767.89
Benzene,306.28,502.4341,531.5958,-663.9853,469.5977,283.0,508.1,343.15,825.92
Toluene,292.12,439.5835,839.1558,-1234.8445,797.8741,183.0,562.014,313.15,848.53
p-Xylene,280.9,660.6612,-279.799,602.9859,-192.8244,287.0,591.749,321.15,836.72
R23,525.96,640.0829,2166.2973,-3069.2655,1827.1404,158.0,616.25,283.15,941.76
R32,424.0,895.2757,224.1921,-50.923,229.6594,138.0,299.747,273.15,1054.86
R12,565.0,914.8334,994.9288,-1324.2838,961.0109,123.0,351.255,273.15,1395.42
R22,520.01,904.0763,874.3,-1176.1556,880.9367,123.0,385.12,283.15,1246.61
R134a,511.94,1043.9503,239.7177,-102.7633,287.7073,173.0,369.28,283.15,1260.67
R125,565.78,800.1882,1917.3007,-2752.5653,1696.7682,173.0,374.212,283.15,1272.6
