Substance,A,B,C,D,E,T_min,T_max,T_verify,prop_verify
Water,0.158990,1.800132,-1.178740,-0.410700,0.964067,273,608,292.85,73.8843
Ammonia,0.103258,1.320142,-0.300843,0.350729,-0.154149,196,395,239.65,34.2903
Hydrogen chloride,0.084865,1.292880,0,0,0,159,316,246.15,13.5228
Chlorine,0.069660,1.290711,-0.595300,0.689530,-0.297926,173,404,273.15,21.3050
Nitrogen,0.029512,1.278290,0.044647,-0.157933,0.089708,63,123,112.95,1.7387
Oxygen,0.037848,1.200264,-0.019308,0.080429,-0.050479,54,149,73.15,17.4984
Hydrogen,0.005631,1.201187,0.024380,-0.439855,0.303610,14,32,18.05,2.3136
Sulfur dioxide,0.088735,1.329490,-0.475261,0.585308,-0.258743,198,406,295.85,22.1365
Carbon monoxide,0.040422,2.716037,-3.185805,2.537085,-0.839567,68,123,85.15,8.7400
Carbon dioxide,0.081563,1.527091,-0.836249,0.924520,-0.348195,216,299,239.65,11.3432
Methane,0.033795,0.837809,0.524994,-0.287428,0.048288,91,185,153.75,5.5421
Ethane,0.048339,1.181172,-0.012966,0.082275,-0.055848,90,294,282.65,2.1598
Propane,0.050936,1.225863,-0.031551,0.052927,-0.027713,85,355,280.05,9.0520
n-Butane,0.051625,1.214678,-0.063855,0.120511,-0.053450,135,355,273.30,14.8635
Isobutane,0.058431,2.186481,-2.691774,3.097050,-1.323847,114,377,283.95,11.4621
n-Pentane,0.052049,1.208440,-0.014871,0.019269,-0.008941,143,435,280.85,17.3662
n-Hexane,0.054521,1.260288,0,0,0,175,456,299.35,17.7507
Cyclohexane,0.065637,1.266746,0,0,0,273,524,332.15,20.5630
n-Heptane,0.054835,1.269376,0,0,0,183,521,314.35,18.1866
n-Octane,0.053060,1.241357,0,0,0,216,532,290.55,21.8806
Ethylene,0.052923,1.278061,0,0,0,104,273,272.95,0.6841
Propylene,0.053708,1.311841,-0.572144,1.013464,-0.581680,88,351,307.15,5.7947
1-Butene,0.056424,1.349660,-0.561878,0.987326,-0.561644,88,402,297.55,12.0642
Methanol,0.071115,2.452836,-1.961439,-0.637268,1.248386,226,467,285.25,23.2116
Ethanol,0.063735,2.466253,-3.218905,1.914451,-0.100171,273,479,285.25,23.1181
n-Propanol,0.044017,0.781202,0,0,0,153,473,323.15,21.4290
n-Butanol,0.049406,0.925929,0,0,0,273,523,323.15,22.4239
Ethylene glycol,0.075776,1.134073,-0.434579,-1.570191,2.334810,263,471,453.15,33.4920
Isopropanol,0.046935,0.908095,0,0,0,287,353,323.15,18.7562
Acetic acid,0.057531,1.077013,0,0,0,290,576,353.45,21.6121
Methyl acetate,0.062040,1.045756,0,0,0,175,489,279.85,26.7625
Ethyl acetate,0.061747,1.332643,-0.604840,0.690144,-0.292236,190,506,294.95,23.6160
Vinyl acetate,0.065003,1.218115,0,0,0,180,501,305.15,22.0854
Methyl-tert-butyl ether,0.059863,1.236617,0,0,0,165,480,304.55,18.5303
Acetone,0.070273,1.215138,0,0,0,178,480,298.00,24.0301
Benzene,0.070259,1.177885,0.028702,0.078840,-0.056076,279,547,368.15,19.2833
Toluene,0.067024,1.246125,0.024241,-0.035845,0.009383,178,570,308.75,26.6487
p-Xylene,0.064561,1.268807,0,0,0,286,599,373.15,19.8339
R23,0.062289,1.570226,-0.795218,0.739061,-0.251189,118,280,261.15,4.5902
R32,0.077760,1.411980,-0.405818,0.513851,-0.242771,137,329,295.15,7.2997
R12,0.065030,1.746093,-0.990751,0.852173,-0.289736,243,370,280.65,10.9640
R22,0.065425,1.549562,-0.847518,0.922886,-0.374168,116,353,293.15,8.7897
R134a,0.058065,1.400084,-0.682828,0.922975,-0.408788,172,364,293.00,8.7995
R125,0.080614,2.465560,-1.588870,0.445522,0.057276,233,328,283.15,5.6915
