Substance,A,B,C,D,T_min,T_max,T_verify,prop_verify
Water,-7.870154,1.906774,-2.31033,-2.06339,274,647.096,393.15,1.9859
Ammonia,-7.303825,1.649953,-2.021615,-1.960295,196,405.5,275.15,4.6237
Hydrogen chloride,-6.454142,0.934797,-0.636477,-1.704349,134,324.55,243.15,10.8202
Chlorine,-6.442452,1.492841,-1.225096,-2.015398,174,416.958,273.15,3.6877
Nitrogen,-6.12368,1.26061,-0.760446,-1.794726,65,126.192,103.15,9.6198
Oxygen,-6.051465,1.234823,-0.628118,-1.61418,64,154.599,123.15,12.2153
Hydrogen,-4.836839,0.943915,0.76388,-0.467794,15,33.19,18.05,0.4651
Sulfur dioxide,-7.278016,1.726871,-2.371926,-2.70875,203,430.643,303.15,4.6239
Carbon monoxide,-6.194175,1.319639,-0.943212,-2.001545,68,132.86,101.15,5.9215
Carbon dioxide,-7.026565,1.527245,-2.246311,-2.63003,218,304.128,253.15,19.6972
Methane,-6.024057,1.26869,-0.570278,-1.37536,93,190.564,173.15,26.039
Ethane,-6.461277,1.353559,-1.04336,-2.044654,123,305.322,243.15,10.6417
Propane,-6.715816,1.387038,-1.311343,-2.563166,160,369.825,260.15,3.122
n-Butane,-7.084375,1.789499,-1.994745,-2.325711,180,425.125,280.15,1.3356
Isobutane,-6.907184,1.578704,-1.803286,-2.427186,180,407.81,300.15,3.7173
n-Pentane,-7.363978,1.943238,-2.471007,-2.349144,213,469.659,343.15,2.8355
n-Hexane,-7.611393,2.007192,-2.744096,-2.825408,233,507.795,303.15,0.2498
Cyclohexane,-7.009954,1.575242,-1.968888,-3.260142,283,553.6,373.15,1.7462
n-Heptane,-7.754461,1.847289,-2.802496,-3.625021,263,541.226,373.15,1.0619
n-Octane,-8.010138,1.984728,-3.259138,-4.00358,283,569.57,343.15,0.1583
Ethylene,-6.412447,1.452364,-1.239075,-1.996814,110,282.35,260.15,30.131
Propylene,-6.721402,1.517651,-1.508872,-2.369565,143,364.211,273.15,5.8421
1-Butene,-7.078279,1.876157,-2.01994,-2.651169,183,419.29,293.15,2.5462
Methanol,-8.72698,1.45005,-2.77177,-0.723874,233,513.38,343.15,1.2545
Ethanol,-8.338015,0.087185,-3.305779,-0.259857,253,513.9,353.15,1.0845
n-Propanol,-8.606755,2.173634,-8.046856,3.691766,290,536.75,364.18,0.799
n-Butanol,-8.330857,2.054134,-8.175663,0.190068,275,563.05,418.85,2.4959
Ethylene glycol,-7.807002,0.915488,-4.927491,-1.926135,333,719.15,453.75,0.6057
Isopropanol,-8.439864,1.14922,-6.938392,0.615959,276,508.25,373.7,2.0101
Acetic acid,-9.345421,3.78498,-3.602383,-1.553062,290,591.95,364.64,0.4227
Methyl acetate,-8.574704,4.224264,-5.368114,-0.827557,227,506.55,332.15,1.0881
Ethyl acetate,-7.897191,2.167535,-3.523305,-3.107122,242,523.2,330.15,0.4977
Vinyl acetate,-7.554439,1.364168,-2.656813,-2.993477,252,519.15,352.25,1.2471
Methyl-tert-butyl ether,-7.565301,2.57784,-3.917256,-0.671678,217,497.15,374.55,3.7435
Acetone,-7.670734,1.965917,-2.445437,-2.899873,213,508.1,353.15,2.1544
Benzene,-7.114987,1.841409,-2.254156,-3.14745,283,562.014,373.15,1.8014
Toluene,-7.49889,2.08428,-2.556275,-2.860135,273,591.749,333.15,0.1853
p-Xylene,-7.671695,1.812883,-2.38796,-3.45669,286,616.25,373.15,0.3206
R23,-7.285947,1.636279,-2.135618,-2.481506,158,299.747,263.15,18.8963
R32,-7.4706,1.75696,-2.015692,-2.61979,158,351.255,263.15,5.8274
R12,-6.919773,1.622716,-1.734359,-2.589279,168,385.12,263.15,2.1879
R22,-7.092406,1.619996,-2.013516,-2.729725,158,369.28,263.15,3.55
R134a,-7.649281,1.79819,-2.660067,-3.320921,173,374.212,263.15,2.0063
R125,-7.537003,1.837339,-2.67533,-2.78762,173,340.229,283.15,9.0868
