Substance,A,B,C,D,T_min,T_max,T_verify,prop_verify
Water,2.000796,14.169449,5.237322,-2.013030,278,1073,353.15,0.0223
Ammonia,1.771596,25.648577,-2.263180,1.120586,203,1000,279.75,0.0221
Hydrogen chloride,21.129515,59.593899,-21.372430,3.617110,159,1000,373.15,0.0181
Chlorine,35.164546,37.254610,6.665306,-1.775010,200,1000,373.15,0.0114
Nitrogen,30.516440,100.761278,-84.097324,35.705221,93,1223,323.15,0.0270
Oxygen,25.097426,69.251077,-35.326230,10.740183,80,1495,284.4,0.0251
Hydrogen,9.355729,86.604301,-163.421012,81.498903,22,1600,271.15,0.1619
Sulfur dioxide,27.058610,-3.315050,54.097200,-15.764240,250,900,386.85,0.0138
Carbon monoxide,32.987680,73.919420,-28.849020,4.398120,70,1500,973.15,0.0636
Carbon dioxide,18.890387,11.895399,40.897183,-13.035620,223,973,373.15,0.0227
Methane,0.826598,71.374130,-29.034600,6.107060,93,1000,273.15,0.0310
Ethane,3.233358,19.029493,27.805380,-4.717205,113,1000,313.35,0.0231
Propane,1.351410,19.983850,20.026000,-3.553930,203,1000,352.55,0.0243
n-Butane,3.215504,10.073633,21.826312,-3.621102,203,1000,387.45,0.0267
Isobutane,9.038150,-1.395520,32.309630,-5.577840,203,1000,273.15,0.0135
n-Pentane,-1.175174,22.560610,10.125880,-1.653540,273,1000,273.15,0.0129
n-Hexane,-1.521446,21.520796,9.432466,-1.141610,339,1000,478.25,0.0317
Cyclohexane,-1.927981,16.082202,6.833899,2.209833,323,1000,467.15,0.0302
n-Heptane,0.059077,15.934620,11.446140,-1.120901,273,1000,373.95,0.0190
n-Octane,-1.585376,18.857260,9.328904,-1.062463,339,1000,443.35,0.0247
Ethylene,0.284146,33.661050,29.235217,-10.510851,169,900,323.25,0.0238
Propylene,3.228482,20.323902,19.300065,-2.045617,225,1000,306.95,0.0180
1-Butene,-1.734943,28.508830,10.986120,-1.536220,225,800,376.35,0.0228
Methanol,-2.097847,17.979169,12.828005,-3.546304,273,1000,324.38,0.0179
Ethanol,-2.259996,21.881454,5.488168,-0.304888,293,1000,293.15,0.0147
n-Propanol,-1.658351,19.595786,6.903138,-0.755881,372,720,372.15,0.0215
n-Butanol,-22.982020,69.128385,-28.209030,5.678522,370,800,573.65,0.0438
Ethylene glycol,-2.986535,18.296988,3.589649,-0.321265,470,1000,470.45,0.0251
Isopropanol,0.670345,9.782420,20.438520,-5.081330,304,1000,473.15,0.0339
Acetic acid,0.704143,7.249838,22.437444,-4.751947,295,687,294.75,0.0105
Methyl acetate,-3.526070,24.686506,11.814704,-1.450865,273,1000,330.05,0.0142
Ethyl acetate,-1.481710,15.774236,24.322500,-5.597174,273,1000,311.45,0.0115
Vinyl acetate,-2.302838,18.466591,16.708090,-2.785195,346,1000,345.65,0.0152
Methyl-tert-butyl ether,5.121987,17.774514,6.213344,0.976908,273,1000,349.55,0.0183
Acetone,-1.729843,20.390480,15.370780,-1.971064,293,1000,364.75,0.0166
Benzene,1.014925,17.781470,9.661990,-0.409016,339,1000,478.25,0.0267
Toluene,0.631015,17.186500,6.139255,0.177187,384,1000,383.75,0.0190
p-Xylene,-1.261201,36.201340,-26.431401,14.075927,320,1000,391.55,0.0177
R23,21.179034,15.915758,49.016112,-13.336371,191,1000,318.75,0.0151
R32,-7.018654,77.642855,-5.084861,-1.550638,163,473,283.15,0.0114
R12,1.049970,67.165700,3.157079,-0.843364,243,700,363.55,0.0130
R22,3.086424,39.018330,32.276130,-8.032932,173,473,313.15,0.0114
R134a,-1.346631,67.782530,-34.251530,19.287077,193,1000,313.15,0.0144
R125,15.887050,-7.776550,75.408970,-25.482380,225,1000,333.15,0.0166
